Analysis Name,Condition,pH,EC(S) (uS/cm),P (ppm),K (ppm),Ca (ppm),Mg (ppm),Mn (ppm),S (ppm),Cu (ppm),B (ppm),Zn (ppm),Na (ppm),Fe (ppm),C.E.C (meq/100g),N (%),T-C (%),%Sand (%),%Silt (%),%Clay (%),Ca% (%),Mg% (%),K% (%),Na% (%),OB% (%),H% (%),Ca:Mg (%),Latitude,Longitude,Region,Texture,Recommandation
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.73,35.3,3.84,14.5,70.0,20.7,18.2,5.75,0.21,0.15,0.29,6.68,55.0,1.41,0.024,0.44,84.3,9.64,6.08,24.8,12.2,2.63,2.06,7.94,50.4,2.03,12.53783,-16.32132,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.03,60.2,5.46,21.9,135.0,37.8,36.4,4.99,0.25,0.12,0.46,5.89,59.7,2.21,0.04,0.59,84.3,9.64,6.08,30.6,14.3,2.54,1.16,7.34,44.1,2.14,12.53783,-16.32132,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.59,22.8,4.63,44.7,7.78,2.87,1.63,5.21,0.25,0.14,0.40,13.9,79.7,0.62,0.024,0.29,94.3,4.64,1.08,6.31,3.88,18.6,9.8,8.22,53.2,1.63,12.51868,-16.44974,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.76,22.6,6.12,19.0,36.2,9.43,1.7,4.49,0.25,0.14,2.56,17.8,73.4,0.91,0.017,0.3,94.3,4.64,1.08,19.9,8.62,5.35,8.49,7.88,49.8,2.3,12.51868,-16.44974,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.48,20.6,7.43,15.5,393.0,53.6,22.2,7.27,0.41,0.13,0.68,11.3,84.9,3.97,0.061,0.86,74.6,14.3,11.1,49.5,11.2,1.0,1.24,6.44,30.6,4.4,12.5008,-16.09411,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.33,23.3,4.92,15.9,279.0,50.4,12.9,7.19,0.34,0.15,0.41,12.6,79.8,3.28,0.045,0.64,74.6,14.3,11.1,42.5,12.8,1.24,1.67,6.74,35.1,3.32,12.5008,-16.09411,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.98,18.0,3.84,26.8,430.0,75.8,32.9,6.06,0.42,0.21,0.38,7.92,40.1,3.65,0.039,0.53,79.6,9.28,11.1,58.8,17.3,1.88,0.94,5.44,15.6,3.4,12.50626,-16.09439,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.88,27.6,5.72,9.48,646.0,70.5,51.8,6.17,0.61,0.25,0.38,4.59,43.5,5.1,0.055,0.75,79.6,9.28,11.1,63.4,11.5,0.48,0.39,5.64,18.6,5.5,12.50626,-16.09439,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.66,10.5,5.81,24.1,295.0,44.3,57.6,5.74,0.42,0.13,0.25,9.54,50.7,2.83,0.037,0.56,85.0,8.92,6.08,52.0,13.0,2.18,1.46,6.08,25.2,4.0,12.50525,-16.09343,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.51,12.9,5.17,14.0,296.0,51.0,52.9,5.85,0.44,0.16,0.26,6.81,47.2,3.08,0.042,0.58,85.0,8.92,6.08,48.0,13.8,1.16,0.96,6.38,29.7,3.48,12.50525,-16.09343,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.24,15.8,3.79,12.6,107.0,42.8,12.0,4.6,0.25,0.14,0.35,7.11,52.1,1.73,0.03,0.48,88.9,5.0,6.08,31.0,20.6,1.87,1.79,6.92,37.8,1.5,12.52433,-16.27268,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.12,16.5,3.34,21.4,85.7,33.2,11.2,6.73,0.31,0.20,0.24,24.8,60.0,1.69,0.027,0.38,88.9,5.0,6.08,25.4,16.4,3.25,6.39,7.16,41.4,1.55,12.52433,-16.27268,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.66,27.1,6.54,43.4,162.0,51.4,32.8,7.76,0.31,0.20,0.39,15.1,50.7,2.06,0.038,0.52,83.9,10.0,6.08,39.3,20.8,5.4,3.19,6.08,25.2,1.89,12.51323,-16.29098,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.38,28.1,5.77,32.3,198.0,54.3,40.5,8.73,0.34,0.22,0.35,21.0,53.6,2.71,0.043,0.82,83.9,10.0,6.08,36.6,16.7,3.06,3.38,6.64,33.6,2.19,12.51323,-16.29098,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.39,25.0,8.71,20.7,243.0,44.9,9.28,7.58,0.38,0.13,0.76,12.2,92.2,2.82,0.041,0.54,78.9,13.9,7.16,43.1,13.3,1.88,1.88,6.62,33.3,3.25,12.51828,-16.29426,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.17,17.0,6.51,10.2,214.0,31.1,9.02,6.34,0.44,0.11,1.07,10.1,91.1,2.64,0.04,0.49,78.9,13.9,7.16,40.6,9.82,0.99,1.66,7.06,39.9,4.13,12.51828,-16.29426,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.18,11.5,6.17,15.5,78.1,20.6,11.2,4.9,0.30,0.11,0.88,4.3,44.5,1.16,0.021,0.29,88.9,4.28,6.8,33.6,14.8,3.42,1.61,7.04,39.6,2.27,12.54185,-16.30776,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.01,15.8,3.68,9.31,41.1,10.7,14.9,5.81,0.36,0.11,0.32,3.57,54.2,0.7,0.022,0.3,88.9,4.28,6.8,29.5,12.8,3.42,2.23,7.38,44.7,2.3,12.54185,-16.30776,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.61,25.9,4.97,14.7,192.0,57.2,39.4,5.23,0.23,0.11,0.43,14.2,50.9,2.29,0.034,0.5,88.9,8.92,2.16,41.9,20.8,1.65,2.7,6.18,26.7,2.01,12.53785,-16.32345,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.01,22.0,3.74,12.4,105.0,41.9,27.7,7.35,0.33,0.13,0.23,2.73,60.4,1.92,0.032,0.45,84.3,4.28,11.4,27.4,18.2,1.66,0.62,7.38,44.7,1.5,12.53785,-16.32345,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.9,60.8,11.1,28.1,507.0,152.0,83.0,10.4,0.51,0.28,0.50,9.29,79.3,5.12,0.072,1.06,83.9,9.28,6.8,49.5,24.7,1.41,0.79,5.6,18.0,2.0,12.53411,-16.33139,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.4,40.0,6.15,23.6,246.0,75.8,61.7,9.08,0.43,0.22,0.48,22.7,69.3,3.35,0.054,0.79,83.9,9.28,6.8,36.8,18.9,1.81,2.95,6.6,33.0,1.95,12.53411,-16.33139,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.36,23.1,6.5,39.9,155.0,41.2,8.42,6.27,0.42,0.13,0.46,19.1,64.8,2.21,0.036,0.57,83.9,9.28,6.8,35.1,15.6,4.64,3.77,6.68,34.2,2.26,12.51823,-16.37008,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.15,17.7,4.03,19.8,124.0,28.8,5.9,7.64,0.61,0.15,0.34,17.9,71.0,1.89,0.03,0.42,83.9,9.28,6.8,32.9,12.7,2.69,4.13,7.1,40.5,2.58,12.51823,-16.37008,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.89,22.1,3.13,11.3,71.4,25.2,20.0,5.52,0.57,< 0.02,< 0.20,17.8,34.3,1.49,0.021,0.26,89.3,4.64,6.08,24.0,14.1,1.94,5.19,7.62,47.2,1.7,12.82136,-16.34948,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.16,21.6,5.15,12.9,128.0,39.2,22.4,5.04,0.27,0.14,0.27,10.7,38.6,1.98,0.033,0.41,89.3,4.64,6.08,32.2,16.5,1.67,2.34,7.08,40.2,1.96,12.82136,-16.34948,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.13,22.9,4.75,36.9,155.0,61.3,38.9,7.75,0.62,0.12,< 0.20,19.2,43.6,2.83,0.033,0.4,83.9,9.28,6.8,27.4,18.1,3.35,2.95,7.14,41.1,1.52,12.81688,-16.37416,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,6.18,65.3,14.0,65.2,435.0,95.5,47.3,7.65,0.52,0.21,0.45,12.3,44.0,3.87,0.049,0.68,83.9,9.28,6.8,56.2,20.6,4.32,1.38,5.22,12.3,2.73,12.81688,-16.37416,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.65,16.3,3.28,40.0,148.0,63.2,12.8,4.69,0.29,0.05,0.23,12.0,39.0,2.08,0.034,0.58,84.3,9.28,6.44,35.6,25.3,4.94,2.51,6.1,25.5,1.41,12.79093,-16.28162,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.61,27.6,4.8,19.7,188.0,46.3,14.7,4.42,0.29,0.15,0.22,9.52,35.7,2.11,0.042,0.59,84.3,9.64,6.08,44.5,18.3,2.39,1.96,6.18,26.7,2.44,12.79093,-16.28162,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.43,21.5,139.0,50.9,493.0,60.0,17.1,5.95,0.37,0.13,6.58,12.3,283.0,5.13,0.022,0.28,84.3,9.64,6.08,48.0,9.74,2.54,1.04,6.54,32.1,4.93,12.8033,-16.26966,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.38,47.6,107.0,93.5,563.0,73.2,36.2,7.16,0.75,0.032,7.25,12.1,219.0,6.22,0.042,0.63,84.3,9.64,6.08,45.3,9.81,3.85,0.85,6.64,33.6,4.61,12.8033,-16.26966,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.75,17.2,29.4,49.1,301.0,63.6,44.9,5.05,1.17,0.064,1.60,23.0,63.0,3.16,0.027,0.36,89.3,4.28,6.44,47.7,16.8,3.99,3.17,5.9,22.5,2.84,12.83747,-16.22189,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.66,28.5,65.6,26.6,367.0,43.2,34.0,6.2,0.94,0.14,3.31,8.61,88.1,3.35,0.02,0.25,89.3,4.28,6.44,54.8,10.8,2.04,1.12,6.08,25.2,5.1,12.83747,-16.22189,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.56,18.7,10.2,28.9,270.0,34.4,16.2,4.73,0.83,0.11,0.66,8.48,53.9,2.67,0.018,0.22,89.6,4.28,6.08,50.6,10.7,2.78,1.38,6.28,28.2,4.71,12.9159,-16.22589,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.48,14.9,7.06,16.4,243.0,41.5,18.8,4.71,1.28,< 0.02,0.57,9.33,61.9,2.61,0.019,0.24,89.6,4.28,6.08,46.5,13.2,1.61,1.55,6.44,30.6,3.51,12.9159,-16.22589,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.13,12.3,5.7,30.1,77.5,19.1,9.32,4.21,0.50,0.033,< 0.20,11.2,43.6,1.3,0.024,0.31,84.6,9.64,5.72,29.8,12.2,5.94,3.75,7.14,41.1,2.43,12.91693,-16.22505,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.74,16.7,3.51,8.27,64.9,13.9,10.8,6.16,0.54,0.11,0.39,3.47,50.1,1.14,0.016,0.2,79.3,9.28,11.4,28.5,10.2,1.86,1.33,7.92,50.2,2.8,12.91693,-16.22505,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.66,29.0,2.48,22.8,197.0,45.2,46.6,4.84,0.40,< 0.02,< 0.20,20.6,34.2,2.2,0.019,0.26,89.6,4.28,6.08,44.8,17.1,2.66,4.08,6.08,25.2,2.62,12.81549,-16.203,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.86,18.2,4.07,20.9,285.0,45.3,53.1,4.32,0.45,< 0.02,< 0.20,5.55,33.2,2.5,0.025,0.36,89.6,4.28,6.08,56.9,15.1,2.14,0.96,5.68,19.2,3.77,12.81549,-16.203,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.44,25.5,5.28,24.5,166.0,60.8,34.9,6.69,0.41,< 0.02,0.37,14.1,41.8,2.37,0.03,0.38,89.3,4.64,6.08,35.0,21.4,2.65,2.59,6.52,31.8,1.64,12.81409,-16.20348,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.57,26.1,9.9,41.2,225.0,63.6,41.4,6.13,0.32,0.15,0.67,6.86,40.6,2.72,0.034,0.51,89.3,4.64,6.08,41.4,19.5,3.88,1.1,6.26,27.9,2.12,12.81409,-16.20348,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.7,33.6,9.08,26.2,244.0,48.2,31.5,6.46,0.64,0.12,1.13,14.7,32.0,2.5,0.034,0.46,89.3,4.64,6.08,48.7,16.0,2.68,2.55,6.0,24.0,3.04,12.81358,-16.20494,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.32,18.5,3.4,10.5,138.0,35.9,26.0,5.38,0.34,0.084,0.32,7.71,37.3,1.81,0.021,0.28,89.3,4.64,6.08,38.0,16.5,1.48,1.85,6.76,35.4,2.31,12.81358,-16.20494,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,6.08,59.4,7.76,27.6,511.0,125.0,21.4,6.61,0.37,0.11,< 0.20,10.3,29.2,4.59,0.058,0.84,89.6,4.28,6.08,55.7,22.7,1.54,0.98,5.24,13.8,2.45,12.81254,-16.20473,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,6.38,33.2,3.74,25.6,274.0,124.0,17.6,4.85,0.34,0.057,< 0.20,16.4,25.6,2.96,0.031,0.41,89.6,4.28,6.08,46.2,34.9,2.21,2.4,5.02,9.3,1.33,12.81254,-16.20473,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.74,31.7,9.1,41.5,207.0,38.1,38.3,5.31,0.31,0.13,0.51,9.31,34.9,2.1,0.032,0.38,89.6,4.28,6.08,49.2,15.1,5.06,1.92,5.92,22.8,3.26,12.81131,-16.20416,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.88,103.0,12.6,66.2,155.0,33.6,25.4,7.63,0.55,0.02,2.35,61.4,29.6,1.97,0.02,0.3,89.6,4.28,6.08,39.4,14.2,8.62,13.6,5.64,18.6,2.77,12.81131,-16.20416,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.41,31.5,11.2,21.4,130.0,43.7,13.3,6.29,0.24,0.12,0.46,16.6,46.3,1.88,0.028,0.38,89.6,4.64,5.72,34.6,19.4,2.92,3.84,6.58,32.7,1.78,12.75722,-16.23381,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.13,13.5,6.96,23.1,54.7,21.6,18.2,6.11,0.24,< 0.02,0.21,13.1,54.6,1.1,0.022,0.26,84.3,4.64,11.1,24.8,16.4,5.38,5.17,7.14,41.1,1.52,12.75722,-16.23381,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.29,29.8,7.66,18.3,210.0,72.2,64.1,5.97,0.36,0.11,0.25,7.74,64.0,3.05,0.041,0.63,79.3,9.64,11.1,34.5,19.8,1.54,1.11,6.82,36.3,1.75,12.75687,-16.23505,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.23,24.5,4.1,34.5,181.0,62.7,52.1,6.08,0.30,< 0.02,0.34,17.3,49.9,2.9,0.035,0.48,79.3,9.64,11.1,31.3,18.0,3.06,2.6,6.94,38.1,1.73,12.75687,-16.23505,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.59,15.8,33.0,5.84,177.0,42.8,9.8,4.6,0.29,0.13,0.21,8.02,48.8,1.94,0.037,0.43,84.6,9.64,5.72,45.6,18.4,0.77,1.79,6.22,27.3,2.48,12.75956,-16.23402,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.71,31.1,27.1,10.1,231.0,45.8,18.2,4.84,0.33,0.12,0.63,8.97,46.0,2.28,0.047,0.56,89.6,4.28,6.08,50.7,16.8,1.14,1.71,5.98,23.7,3.03,12.75956,-16.23402,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.71,14.9,8.5,7.68,114.0,38.7,9.74,4.71,0.27,0.15,0.22,7.18,50.8,1.34,0.029,0.35,85.0,9.28,5.72,42.5,24.0,1.47,2.33,5.98,23.7,1.77,12.7597,-16.23562,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.17,14.4,7.18,4.06,75.2,21.2,18.2,5.64,0.29,0.10,0.34,3.51,58.1,1.09,0.034,0.38,85.0,9.28,5.72,34.5,16.2,0.95,1.4,7.06,39.9,2.13,12.7597,-16.23562,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.45,18.4,5.54,44.0,107.0,38.2,16.0,5.76,0.46,0.10,0.23,8.13,46.7,1.62,0.025,0.41,83.9,8.92,7.16,33.1,19.7,6.98,2.19,6.5,31.5,1.68,12.82152,-16.35062,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.09,16.9,5.09,29.9,89.9,27.0,25.1,7.95,0.53,0.17,0.46,17.4,51.5,1.64,0.024,0.29,83.9,8.92,7.16,27.4,13.7,4.68,4.62,7.22,42.3,2.0,12.82152,-16.35062,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.93,14.8,3.98,29.6,73.3,16.5,19.2,6.47,0.60,0.11,0.33,9.79,51.0,1.35,0.024,0.32,88.9,9.28,1.8,27.1,10.2,5.62,3.15,7.54,46.4,2.67,12.82177,-16.35161,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.06,18.2,5.63,27.3,115.0,27.8,15.2,6.32,0.42,0.12,0.47,18.3,49.1,1.93,0.029,0.36,88.9,9.28,1.8,29.8,12.0,3.63,4.12,7.28,43.2,2.48,12.82177,-16.35161,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.02,17.6,4.97,16.9,106.0,28.0,38.4,5.36,0.52,0.084,0.30,3.59,54.0,1.7,0.025,0.32,83.9,9.28,6.8,31.1,13.7,2.54,0.92,7.36,44.4,2.27,12.81718,-16.37461,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,4.98,15.0,3.23,14.2,78.1,28.5,39.4,6.69,0.56,0.10,0.25,4.87,54.0,1.45,0.022,0.26,83.9,9.28,6.8,26.9,16.3,2.5,1.46,7.44,45.4,1.64,12.81718,-16.37461,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
"Soil Texture Analysis (Hydrometer),Standard Wet Chem Soil Analysis  + Micros,Total Carbon & Nitrogen",Moist,5.49,36.6,12.9,33.1,374.0,49.9,59.3,7.55,0.89,0.069,0.52,3.07,55.0,3.77,0.056,0.75,79.3,14.3,6.44,49.6,11.0,2.25,0.35,6.42,30.3,4.5,12.8047,-16.33762,Ziguinchor,Sableux,Ajouter de la matière organique et utiliser l'irrigation goutte à goutte.
